signal_id,holding_days,entry_date,exit_date,entry_price,exit_price,size,pnl,return_pct,exit_reason
S5_macd_cross,10,2008-03-24,2008-04-07,1349.8800048828125,1372.5400390625,74.00665210147517,1475.516073077347,1.4755160730773431,time_stop
S5_macd_cross,10,2008-04-18,2008-05-02,1390.3299560546875,1413.9000244140625,71.8535189902579,1492.09856230738,1.4920985623073868,time_stop
S5_macd_cross,10,2008-05-16,2008-06-02,1425.3499755859375,1385.6700439453125,70.08811983809987,-2978.1109119919256,-2.978110911991927,time_stop
S5_macd_cross,10,2008-07-18,2008-08-01,1260.6800537109375,1260.31005859375,79.24302411705017,-229.09041226267962,-0.229090412262678,time_stop
S5_macd_cross,10,2008-08-29,2008-09-15,1282.8299560546875,1192.699951171875,77.87477945038036,-7211.635597658793,-7.211635597658795,time_stop
S5_macd_cross,10,2008-10-29,2008-11-12,930.0900268554688,852.2999877929688,107.40906473091758,-8546.80018554378,-8.546800185543779,time_stop
S5_macd_cross,10,2008-11-26,2008-12-11,887.6799926757812,873.5900268554688,112.54066862424791,-1783.908679936645,-1.783908679936641,time_stop
S5_macd_cross,10,2009-02-06,2009-02-23,868.5999755859375,743.3300170898438,115.01278230258941,-14593.039018900274,-14.593039018900278,time_stop
S5_macd_cross,10,2009-03-13,2009-03-27,756.5499877929688,815.9400024414062,132.04692553301282,7634.626373044888,7.634626373044884,time_stop
S5_macd_cross,10,2009-05-04,2009-05-18,907.239990234375,909.7100219726562,110.11430379550605,71.9136395882426,0.07191363958825026,time_stop
S5_macd_cross,10,2009-06-02,2009-06-16,944.739990234375,911.969970703125,105.74348596730438,-3661.5510841507685,-3.6615510841507715,time_stop
S5_macd_cross,10,2009-07-16,2009-07-30,940.739990234375,986.75,106.19310429783143,4681.259620219277,4.68125962021928,time_stop
S5_macd_cross,10,2009-08-26,2009-09-10,1028.1199951171875,1044.1400146484375,97.16774342931932,1355.2723185974403,1.3552723185974447,time_stop
S5_macd_cross,10,2009-09-14,2009-09-28,1049.3399658203125,1062.97998046875,95.20279714306302,1097.4687802558,1.0974687802558059,time_stop
S5_macd_cross,10,2009-10-13,2009-10-27,1073.18994140625,1063.4100341796875,93.08706319889305,-1109.2726590364425,-1.1092726590364421,time_stop
S5_macd_cross,10,2009-11-10,2009-11-24,1093.010009765625,1105.6500244140625,91.39907137860665,954.3301156779098,0.9543301156779149,time_stop
S5_macd_cross,10,2009-12-24,2010-01-11,1126.47998046875,1146.97998046875,88.68342237074603,1616.3919486414898,1.6163919486414935,time_stop
S5_macd_cross,10,2010-02-17,2010-03-03,1099.510009765625,1118.7900390625,90.8587452709002,1550.2073116293664,1.550207311629359,time_stop
S5_macd_cross,10,2010-04-06,2010-04-20,1189.43994140625,1207.1700439453125,83.98919224285517,1287.8476538480247,1.2878476538480177,time_stop
S5_macd_cross,10,2010-06-04,2010-06-18,1064.8800048828125,1117.510009765625,93.81348080725178,4732.666349206133,4.732666349206127,time_stop
S5_macd_cross,10,2010-07-12,2010-07-26,1078.75,1115.010009765625,92.60727684829655,3154.7826223240877,3.1547826223240927,time_stop
S5_macd_cross,10,2010-09-03,2010-09-20,1104.510009765625,1142.7099609375,90.44743734038093,3251.8324025335537,3.25183240253355,time_stop
S5_macd_cross,10,2010-11-05,2010-11-19,1225.8499755859375,1199.72998046875,81.4945563402644,-2326.3089760715616,-2.326308976071567,time_stop
S5_macd_cross,10,2010-12-06,2010-12-20,1223.1199951171875,1247.0799560546875,81.67645063355248,1755.2074023266848,1.7552074023266862,time_stop
S5_macd_cross,10,2011-01-04,2011-01-19,1270.199951171875,1281.9200439453125,78.64911332104288,721.0529299663667,0.7210529299663593,time_stop
S5_macd_cross,10,2011-02-07,2011-02-22,1319.050048828125,1315.43994140625,75.73639831851226,-472.94331694225434,-0.47294331694225367,time_stop
S5_macd_cross,10,2011-03-25,2011-04-08,1313.800048828125,1328.1700439453125,76.03904413704976,891.7878124718507,0.8917878124718559,time_stop
S5_macd_cross,10,2011-04-25,2011-05-09,1335.25,1346.2900390625,74.81752473327086,625.3622074190641,0.6253622074190668,time_stop
S5_macd_cross,10,2011-06-22,2011-07-07,1287.1400146484375,1353.219970703125,77.61401150082813,4923.801538933349,4.923801538933348,time_stop
S5_macd_cross,10,2011-07-21,2011-08-04,1343.800048828125,1200.0699462890625,74.34149149437735,-10874.225284998483,-10.874225284998484,time_stop
S5_macd_cross,10,2011-08-25,2011-09-09,1159.27001953125,1154.22998046875,86.17500514719983,-633.6912665610508,-0.6336912665610539,time_stop
S5_macd_cross,10,2011-10-10,2011-10-24,1194.8900146484375,1254.18994140625,83.60610489283626,4753.077860954349,4.753077860954358,time_stop
S5_macd_cross,10,2011-12-02,2011-12-16,1244.280029296875,1219.6600341796875,80.28747351715677,-2174.500728557948,-2.1745007285579487,time_stop
S5_macd_cross,10,2011-12-23,2012-01-10,1265.3299560546875,1292.0799560546875,78.95181760462663,1910.0489600026463,1.9100489600026416,time_stop
S5_macd_cross,10,2012-02-06,2012-02-21,1344.3299560546875,1362.2099609375,74.3121876070401,1127.5733751889097,1.1275733751889172,time_stop
S5_macd_cross,10,2012-03-15,2012-03-29,1402.5999755859375,1403.280029296875,71.22494056679741,-151.4118514415848,-0.1514118514415852,time_stop
S5_macd_cross,10,2012-04-27,2012-05-11,1403.3599853515625,1353.3900146484375,71.18636767676787,-3753.4237263629057,-3.7534237263629033,time_stop
S5_macd_cross,10,2012-06-08,2012-06-22,1325.6600341796875,1335.02001953125,75.35876267245067,504.8513580111112,0.5048513580111047,time_stop
S5_macd_cross,10,2012-07-17,2012-07-31,1363.6700439453125,1379.3199462890625,73.25826386203599,945.5379908380277,0.9455379908380301,time_stop
